Warder:::Kattie Lafont:3A3624:F:44:6:2:Doer:Brawling-1,Streetwise-1,Blade-2,GunCbt-1,Mechanical-1,Bribery-1,Gambling-1
Warder:::Diego Bowers:759884:M:35:4:1:Contemplator:Brawling-1,Vehicle-1,Streetwise-1,Electronic-1,GunCbt-1,Gambling-1
Warder:::Hollis Boucher:3736A4:M:32:3:4:Doer:Streetwise-1,Electronic-1,Blade-2,Leader-1
Warder:::Monique Fraisse:75B674:F:26:2:1:Responder:Forgery-1,Streetwise-1,GunCbt-1,Mechanical-1
Warder:::Cornelius Sosa:99A5B3:M:44:6:6:Responder:Streetwise-1,Electronic-1,Leader-2,Bribery-1,Gambling-1,Steward-1,Computer-1
Warder:NR::Palmira Dillard:A97931:F:31:3:14:Shaper:Brawling-1,Streetwise-1,Blade-1,GunCbt-1,Bribery-1
Warder:::Elvis Morin:295C44:M:32:3:2:Responder:JoT-1,Streetwise-1,Mechanical-1,Bribery-1
Warder:::Joy Falk:6B2764:F:38:5:5:Responder:Brawling-2,Streetwise-1,Blade-1,Bribery-2
Warder::Dame:Ivy Karlsson:357634:F:31:3:3:Shaper:Brawling-1,Streetwise-1,Blade-1,Bribery-1
Warder:::Guadalupe Meadows:A86432:M:27:2:4:Responder:Forgery-1,Streetwise-1,Bribery-1
